account,aprBreakdown,aprTotal,balance,balanceUsd,distinctId,eventName,lastApr,lastRate,lastUpdatedAt,message,meta.address,meta.block_hash,meta.block_number,meta.chain,meta.contract,meta.log_index,meta.severity,meta.transaction_hash,meta.transaction_index,protocol_id,timestamp,vaultAddress,vaultName,vaultType,positionType
0x835FEBF893c6DdDee5CF762B0f8e31C5B06938ab,"[{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0x33c935bb0699b737d9cbd4274b5936a9004eee03ccfa70e266ff7c1513fd4808""}]","{""apr"":0,""aprType"":""SINGLE""}",0.0,0.0,"",AccrueInterest,0.0,1.0562957017290766,1770880351.0,"",0x835febf893c6dddee5cf762b0f8e31c5b06938ab,0x8d7ba0bf514b0c534039d0585175f924e22f52ea2b56b2be7761cc15593d8308,27070000,999,MetaMorpho,3,INFO,0x585b19cde8fcd99b991fdb6dd458af8fdf4edb232340939c1eae1c87f0d0808a,0,morpho_felix_usde_999_market_0x33c935,2026-02-12T07:12:31.000000+0000,0x33c935bb0699b737d9cbd4274b5936a9004eee03ccfa70e266ff7c1513fd4808,Felix USDe - Market 0x33c935,MorphoMarket,""
0x835FEBF893c6DdDee5CF762B0f8e31C5B06938ab,"[{""aprType"":""SINGLE"",""apr"":12.7382,""aprMetadata"":""0x292f0a3ddfb642fbaadf258ebcccf9e4b0048a9dc5af93036288502bde1a71b1""}]","{""apr"":12.7382,""aprType"":""SINGLE""}",839296.0553599101,838240.0362771351,"",AccrueInterest,12.7382,1.0562957017290766,1770880351.0,"",0x835febf893c6dddee5cf762b0f8e31c5b06938ab,0x8d7ba0bf514b0c534039d0585175f924e22f52ea2b56b2be7761cc15593d8308,27070000,999,MetaMorpho,3,INFO,0x585b19cde8fcd99b991fdb6dd458af8fdf4edb232340939c1eae1c87f0d0808a,0,morpho_felix_usde_999_market_0x292f0a,2026-02-12T07:12:31.000000+0000,0x292f0a3ddfb642fbaadf258ebcccf9e4b0048a9dc5af93036288502bde1a71b1,Felix USDe - Market 0x292f0a,MorphoMarket,""
0x835FEBF893c6DdDee5CF762B0f8e31C5B06938ab,"[{""aprType"":""SINGLE"",""apr"":9.4331,""aprMetadata"":""0x5fe3ac84f3a2c4e3102c3e6e9accb1ec90c30f6ee87ab1fcafc197b8addeb94c""}]","{""apr"":9.4331,""aprType"":""SINGLE""}",351477.83408455,351035.5976441481,"",AccrueInterest,9.4331,1.0562957017290766,1770880351.0,"",0x835febf893c6dddee5cf762b0f8e31c5b06938ab,0x8d7ba0bf514b0c534039d0585175f924e22f52ea2b56b2be7761cc15593d8308,27070000,999,MetaMorpho,3,INFO,0x585b19cde8fcd99b991fdb6dd458af8fdf4edb232340939c1eae1c87f0d0808a,0,morpho_felix_usde_999_market_0x5fe3ac,2026-02-12T07:12:31.000000+0000,0x5fe3ac84f3a2c4e3102c3e6e9accb1ec90c30f6ee87ab1fcafc197b8addeb94c,Felix USDe - Market 0x5fe3ac,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0x1c6b87ae1b97071ef444eedcba9f5a92cfe974edbbcaa1946644fc7ab0e283af""}]","{""apr"":0,""aprType"":""SINGLE""}",0.0,0.0,"",AccrueInterest,0.0,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0x1c6b87,2026-02-12T07:16:32.000000+0000,0x1c6b87ae1b97071ef444eedcba9f5a92cfe974edbbcaa1946644fc7ab0e283af,Felix USDT0 (Frontier) - Market 0x1c6b87,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":6.9017,""aprMetadata"":""0xd5a9fba2309a0b85972a96f2cc45f9784e786d712944d8fc0b31a6d9cb4f21d3""}]","{""apr"":6.9017,""aprType"":""SINGLE""}",31662.51347866409,31662.51347866409,"",AccrueInterest,6.9017,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0xd5a9fb,2026-02-12T07:16:32.000000+0000,0xd5a9fba2309a0b85972a96f2cc45f9784e786d712944d8fc0b31a6d9cb4f21d3,Felix USDT0 (Frontier) - Market 0xd5a9fb,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":6.905,""aprMetadata"":""0xd2e8f6fd195556222d7a0314d4fb93fdf84ae920faaebba6dbcf584ac865e1f5""}]","{""apr"":6.905,""aprType"":""SINGLE""}",557429.0331737081,557429.0331737081,"",AccrueInterest,6.905,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0xd2e8f6,2026-02-12T07:16:32.000000+0000,0xd2e8f6fd195556222d7a0314d4fb93fdf84ae920faaebba6dbcf584ac865e1f5,Felix USDT0 (Frontier) - Market 0xd2e8f6,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":4.8792,""aprMetadata"":""0xfbe436e9aa361487f0c3e4ff94c88aea72887a4482c6b8bcfec60a8584cdb05e""}]","{""apr"":4.8792,""aprType"":""SINGLE""}",1125574.1353175463,1125574.1353175463,"",AccrueInterest,4.8792,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0xfbe436,2026-02-12T07:16:32.000000+0000,0xfbe436e9aa361487f0c3e4ff94c88aea72887a4482c6b8bcfec60a8584cdb05e,Felix USDT0 (Frontier) - Market 0xfbe436,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":24.6973,""aprMetadata"":""0xfdece686f16877984325c7a1c192e0f18862bae3829d000a1a62b5bc2b31d4ef""}]","{""apr"":24.6973,""aprType"":""SINGLE""}",1575.3448390433132,1575.3448390433132,"",AccrueInterest,24.6973,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0xfdece6,2026-02-12T07:16:32.000000+0000,0xfdece686f16877984325c7a1c192e0f18862bae3829d000a1a62b5bc2b31d4ef,Felix USDT0 (Frontier) - Market 0xfdece6,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":8.3996,""aprMetadata"":""0xf9f0473b23ebeb82c83078f0f0f77f27ac534c9fb227cb4366e6057b6163ffbf""}]","{""apr"":8.3996,""aprType"":""SINGLE""}",227607.77499276362,227607.77499276362,"",AccrueInterest,8.3996,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0xf9f047,2026-02-12T07:16:32.000000+0000,0xf9f0473b23ebeb82c83078f0f0f77f27ac534c9fb227cb4366e6057b6163ffbf,Felix USDT0 (Frontier) - Market 0xf9f047,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":4.5424,""aprMetadata"":""0x6eb4ce92dc1d89abd40f9634249ec28e8ab4e3f9bef0ab47ea784773c140d4ef""}]","{""apr"":4.5424,""aprType"":""SINGLE""}",291905.8773907346,291905.8773907346,"",AccrueInterest,4.5424,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0x6eb4ce,2026-02-12T07:16:32.000000+0000,0x6eb4ce92dc1d89abd40f9634249ec28e8ab4e3f9bef0ab47ea784773c140d4ef,Felix USDT0 (Frontier) - Market 0x6eb4ce,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":5.2364,""aprMetadata"":""0xd5c5b5db889eb5d4f4026b9704cddffbc1356732a37c2b543330c10756ae7a18""}]","{""apr"":5.2364,""aprType"":""SINGLE""}",234349.4295236729,234349.4295236729,"",AccrueInterest,5.2364,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0xd5c5b5,2026-02-12T07:16:32.000000+0000,0xd5c5b5db889eb5d4f4026b9704cddffbc1356732a37c2b543330c10756ae7a18,Felix USDT0 (Frontier) - Market 0xd5c5b5,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":6.0064,""aprMetadata"":""0x86d7bc359391486de8cd1204da45c53d6ada60ab9764450dc691e1775b2e8d69""}]","{""apr"":6.0064,""aprType"":""SINGLE""}",79639.41848496893,79639.41848496893,"",AccrueInterest,6.0064,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0x86d7bc,2026-02-12T07:16:32.000000+0000,0x86d7bc359391486de8cd1204da45c53d6ada60ab9764450dc691e1775b2e8d69,Felix USDT0 (Frontier) - Market 0x86d7bc,MorphoMarket,""
0x9896a8605763106e57A51aa0a97Fe8099E806bb3,"[{""aprType"":""SINGLE"",""apr"":5.1952,""aprMetadata"":""0xd4fd53f612eaf411a1acea053cfa28cbfeea683273c4133bf115b47a20130305""}]","{""apr"":5.1952,""aprType"":""SINGLE""}",19161.640670258577,19161.640670258577,"",AccrueInterest,5.1952,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,morpho_felix_usdt0_(frontier)_999_market_0xd4fd53,2026-02-12T07:16:32.000000+0000,0xd4fd53f612eaf411a1acea053cfa28cbfeea683273c4133bf115b47a20130305,Felix USDT0 (Frontier) - Market 0xd4fd53,MorphoMarket,""
0x9c59a9389D8f72DE2CdAf1126F36EA4790E2275e,"[{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0xe0a1de770a9a72a083087fe1745c998426aaea984ddf155ea3d5fbba5b759713""}]","{""apr"":0,""aprType"":""SINGLE""}",1.0683323416279095e-7,1.0683323416279095e-7,"",AccrueInterest,0.0,1.059388,1770880680.0,"",0x9c59a9389d8f72de2cdaf1126f36ea4790e2275e,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,MetaMorpho,40,INFO,0x97c3507535c141b56bf2c228320715c72b821e72271404a87246028c58f33d72,3,morpho_felix_usdhl_999_market_0xe0a1de,2026-02-12T07:18:00.000000+0000,0xe0a1de770a9a72a083087fe1745c998426aaea984ddf155ea3d5fbba5b759713,Felix USDhl - Market 0xe0a1de,MorphoMarket,""
