aprBreakdown,aprTotal,borrowAprBreakdown,borrowAprTotal,borrowSharePrice,collateralAprBreakdown,collateralAprTotal,debt,distinctId,eventName,lastApr,lastRate,lastUpdatedAt,message,meta.address,meta.block_hash,meta.block_number,meta.chain,meta.contract,meta.log_index,meta.severity,meta.transaction_hash,meta.transaction_index,oracleAddress,protocol_id,supply,supplySharePrice,timestamp,underlyingSharePrice,usdSupply,vaultAddress,vaultName,vaultType
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":17.9781}]","{""apr"":17.9781,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-19.1388}]","{""apr"":-19.1388,""aprType"":""SINGLE""}",1.0735844937081191,[],"{""apr"":0,""aprType"":""SINGLE""}",231301.570403,"",AccrueInterest,17.97809687565952,1.0643771384432177,1770880680.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,Morpho,60,INFO,0x97c3507535c141b56bf2c228320715c72b821e72271404a87246028c58f33d72,3,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdhl_0x87272614b7a2022c31ddd7bba8eb21d5ab40a6bcbea671264d59dc732053721d_999,244123.344224,1.0643771384432177,2026-02-12T07:18:00.000000+0000,1.0,244123.344224,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDhl 0x8727,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":0.0557}]","{""apr"":0.0557,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-0.4637}]","{""apr"":-0.4637,""aprType"":""SINGLE""}",1.030504837915512,"[{""aprType"":""SINGLE"",""apr"":2.3084}]","{""apr"":2.3084,""aprType"":""SINGLE""}",40534.58929,"",AccrueInterest,0.05574105115117203,1.0266670029874745,1770880620.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0x893a1b3b9968b0c96e4b62798e78396bf5c73e749c8cedee0aa07efbc5c81527,27070274,999,Morpho,107,INFO,0x0558c7c5c29f02c0285de237817512fb599cf116c523572b09faacd59a1100ce,6,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdhl_0x1f79fe1822f6bfe7a70f8e7e5e768efd0c3f10db52af97c2f14e4b71e3130e70_999,335928.560269,1.0266670029874745,2026-02-12T07:17:00.000000+0000,1.0,335928.560269,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDhl 0x1f79,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":97.4299}]","{""apr"":97.4299,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-106.8732}]","{""apr"":-106.8732,""aprType"":""SINGLE""}",1.0817068791656426,[],"{""apr"":0,""aprType"":""SINGLE""}",147453.799522,"",AccrueInterest,97.42991625604675,1.071876143479235,1770880620.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0x893a1b3b9968b0c96e4b62798e78396bf5c73e749c8cedee0aa07efbc5c81527,27070274,999,Morpho,112,INFO,0x0558c7c5c29f02c0285de237817512fb599cf116c523572b09faacd59a1100ce,6,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdhl_0x96c7abf76aed53d50b2cc84e2ed17846e0d1c4cc28236d95b6eb3b12dcc86909_999,160275.58266,1.071876143479235,2026-02-12T07:17:00.000000+0000,1.0,160275.58266,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDhl 0x96c7,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":49.9124}]","{""apr"":49.9124,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-54.7218}]","{""apr"":-54.7218,""aprType"":""SINGLE""}",1.0735841359465221,[],"{""apr"":0,""aprType"":""SINGLE""}",231301.493324,"",AccrueInterest,49.91236835137237,1.0643768121249921,1770880620.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0x893a1b3b9968b0c96e4b62798e78396bf5c73e749c8cedee0aa07efbc5c81527,27070274,999,Morpho,117,INFO,0x0558c7c5c29f02c0285de237817512fb599cf116c523572b09faacd59a1100ce,6,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdhl_0x87272614b7a2022c31ddd7bba8eb21d5ab40a6bcbea671264d59dc732053721d_999,251414.404473,1.0643768121249921,2026-02-12T07:17:00.000000+0000,1.0,251414.404473,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDhl 0x8727,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":37.9645}]","{""apr"":37.9645,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-41.4634}]","{""apr"":-41.4634,""aprType"":""SINGLE""}",1.092659590401268,[],"{""apr"":0,""aprType"":""SINGLE""}",1596.909675,"",TimeInterval,37.964478749363174,1.081710961276196,1770796800.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0x0684afed148f368c3e790f6691e25fba5c04ee8eb0b0d373c18f48ea2aaed63b,26985056,999,Morpho,-1,INFO,"",-1,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdt0_0x0ecf5be1fadf4bec3f79ce196f02a327b507b34d230c0f033f4970b1b510119c_999,1726.607936,1.081710961276196,2026-02-11T08:00:00.000000+0000,1.0,1726.607936,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDT0 0x0ecf,MorphoMarket
[],"{""apr"":0,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-0.0316}]","{""apr"":-0.0316,""aprType"":""SINGLE""}",0.0,"[{""aprType"":""SINGLE"",""apr"":22.5065}]","{""apr"":22.5065,""aprType"":""SINGLE""}",0.0,"",TimeInterval,0.0,1.0,1770796800.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0x0684afed148f368c3e790f6691e25fba5c04ee8eb0b0d373c18f48ea2aaed63b,26985056,999,Morpho,-1,INFO,"",-1,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usde_0x0f48c13cd52b1a76c5dde495fe72049cd57e608335f3d0002ef649c18b96b855_999,1e-15,1.0,2026-02-11T08:00:00.000000+0000,1.0,9.9850703e-16,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDe 0x0f48,MorphoMarket
[],"{""apr"":0,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-0.025}]","{""apr"":-0.025,""aprType"":""SINGLE""}",0.0,[],"{""apr"":0,""aprType"":""SINGLE""}",0.0,"",TimeInterval,2.90390452230146e-8,1.0010670382443347,1770796800.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0x0684afed148f368c3e790f6691e25fba5c04ee8eb0b0d373c18f48ea2aaed63b,26985056,999,Morpho,-1,INFO,"",-1,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdt0_0x15f505f8dda26a523f7490ad0322f3ed4f325a54fd50832bc65e4bd75e3dca54_999,0.8619180000000001,1.0010670382443347,2026-02-11T08:00:00.000000+0000,1.0,0.8619180000000001,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDT0 0x15f5,MorphoMarket
[],"{""apr"":0,""aprType"":""SINGLE""}",[],"{""apr"":0,""aprType"":""SINGLE""}",0.0,[],"{""apr"":0,""aprType"":""SINGLE""}",0.0,"",TimeInterval,0.0,1.0,1770796800.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0x0684afed148f368c3e790f6691e25fba5c04ee8eb0b0d373c18f48ea2aaed63b,26985056,999,Morpho,-1,INFO,"",-1,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdt0_0x1c6b87ae1b97071ef444eedcba9f5a92cfe974edbbcaa1946644fc7ab0e283af_999,345.059705,1.0,2026-02-11T08:00:00.000000+0000,1.0,345.059705,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDT0 0x1c6b,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":6.9938}]","{""apr"":6.9938,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-13.2051}]","{""apr"":-13.2051,""aprType"":""SINGLE""}",1.051735622936891,[],"{""apr"":0,""aprType"":""SINGLE""}",2279.0474078417833,"",TimeInterval,6.993771130438147,1.0458992355110952,1770796800.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0x0684afed148f368c3e790f6691e25fba5c04ee8eb0b0d373c18f48ea2aaed63b,26985056,999,Morpho,-1,INFO,"",-1,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_whype_0x1df0d0ebcdc52069692452cb9a3e5cf6c017b237378141eaf08a05ce17205ed6_999,4279.258653390473,1.0458992355110952,2026-02-11T08:00:00.000000+0000,1.0,123167.47120162286,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho wHYPE 0x1df0,MorphoMarket
[],"{""apr"":0,""aprType"":""SINGLE""}",[],"{""apr"":0,""aprType"":""SINGLE""}",0.0,"[{""aprType"":""SINGLE"",""apr"":22.5065}]","{""apr"":22.5065,""aprType"":""SINGLE""}",0.0,"",TimeInterval,0.0,0.0,1770796800.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0x0684afed148f368c3e790f6691e25fba5c04ee8eb0b0d373c18f48ea2aaed63b,26985056,999,Morpho,-1,INFO,"",-1,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdhl_0x2675d16b59d5ba7bb4286d50fe43b071f66017ce2d985a08243ab4c4cd235e23_999,0.0,0.0,2026-02-11T08:00:00.000000+0000,1.0,0.0,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDhl 0x2675,MorphoMarket
